Taxon,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,Other names,Notes,Trophic strategy,Cell Cover,Shape,Spicule,Symmetry,Polarity,Colony,Motility,Chloroplast,Ingestion,Behavior,Mutualistic Host,Symbiotic,Symbiont location,Host Specialization,Symbiont Specialization,Prey Specialization,Mucilage,Chemical Signal,Nutrient Affinity,Oxygen Tolerance,Salinity,Temperature,Depth,Toxygenity,Benthic Phase,Cyst Spore,Sexual reproduction or division,Ploidy,Genome Size,Presence in other subeuphotic regions?,Presence in extreme environment?,Lab-based studies,Field-based studies,Sequencing,Gene expression,Genes of note,Notes on phylogenetic placement,Resources
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae;Scrippsiella,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Thoracosphaeraceae,Scrippsiella,NA,,Eaten by other dinoflagellates,,Calcareous,Round,1,Asymetrical,Heteropolar,None,Swimmer,1,No,,,,,,"Hosts parasites Amoebophyra, Dinomyces, and Parvilucifera","Predates on cryptomonads, other dinoflagellates, prymnesiophyces, raphidophyces, and diatoms",,,,,Marine,,,,,1,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae;Thoracosphaeraceae_X;Thoracosphaeraceae_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Thoracosphaeraceae,Thoracosphaeraceae_X,Thoracosphaeraceae_X_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,NA,,Eaten by other dinoflagellates,,Organic,Round,0,Asymetrical,Heteropolar,,,,,,,,,,,,,,,,,,,"Okadaic acid, dinophysistoxin",,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum_sp.;,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_sp.,,Eaten by other dinoflagellates,,Organic,Round,0,Asymetrical,Heteropolar,None,Swimmer,1,No,,,Prorocentrum lima has a vitamin exchange symbiotic relationship with Alphaproteobacteria Dinoroseobactr shibae ,,,Hosts parasitic dinoflagellates Amoebophyra and Parvilucifera,"Predates on cryptomonads, other dinoflagellates(other Prorocentrum), prymnesiophyces, raphidophyces, diatoms",,,,,,,,"Okadaic acid, dinophysistoxin",,1,,Haplodiplont,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;Pelagodinium,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Pelagodinium,NA,,,,Organic,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,1,No,,,MutualistPhotosynthetic,,,foraminifer,,,,,,,,,,,0,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;Polarella;Polarella_glacialis;,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Polarella,Polarella_glacialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;Suessiaceae_X;Suessiaceae_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Suessiaceae_X,Suessiaceae_X_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Symbiodiniaceae;Breviolum;Breviolum_sp.;,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Breviolum,Breviolum_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium_sp.;,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium_sp.,,,,Organic,Round,0,Asymetrical,Heteropolar,None,Swimmer,1,No,,,MutualistPhotosynthetic,Endo,,Corals,,,,,,,,,,,1,,Haplontic,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Dinophyta_X;Dinophyta_XX;Dinophyta_XXX;Dinophyta_XXXX;Dinophyta_XXXX_sp.;,Eukaryota,Alveolata,Dinoflagellata,Dinophyta_X,Dinophyta_XX,Dinophyta_XXX,Dinophyta_XXXX,Dinophyta_XXXX_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Oxyrrhea;Oxyrrhinales;Oxyrrhinaceae;Oxyrrhis;Oxyrrhis_marina;,Eukaryota,Alveolata,Dinoflagellata,Oxyrrhea,Oxyrrhinales,Oxyrrhinaceae,Oxyrrhis,Oxyrrhis_marina,,Eaten by other dinoflagellate Karlodinium armiger,,,,,,,,,,,,,,,,Hosts the parasitic dinoflagellate Amoebophyra,"Predates on chlorophyces, diatoms, prymnesiophyces, raphidophyces, cryptomonads, and other dinoflagellate Amphidinium",,,,,,,,,,,,,,,,,,,,,,"Urban Tillmann, Marcus Reckermann. 2002. Dinoflagellate grazing on the raphidophyte Fibrocapsa japonica. Aquatic Microbial Ecology. "
Eukaryota;Alveolata;Dinoflagellata;Syndiniales,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,NA,NA,NA,NA,,"Parasitic Class. Syndiniales comprise at least five major marinealveolate (MALV) groups, referred to interchangeablyas MALV I–V, Syndiniales Groups I–V, or, in the PR2database Dino-Group I–V",,,,,,,,,,,Parasitic,,,,,,,,,,,,,,,,Dinospore=>trophont=>vermiform,,,,,,,,,,,,"Nagarkar, M. & Palenik,B. (2023) Diversity and putative interactions ofparasitic alveolates belonging to Syndiniales at acoastal Pacific site.Environmental MicrobiologyReports, 15(3), 157–169. Available from:https://doi.org/10.1111/1758-2229.13138PARASITIC ALVEOLATES AT A COASTAL MONITORING SITE169"
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hydrothermal vent fluid. Zhang Y, Huang N, Jing H,, 2022. Biogeography and Population Divergence of Microeukaryotes Associated with Fluids and Chimneys in the Hydrothermal Vents of the Southwest Indian Ocean. Microbiol Spectr 10:e02632-21.
https://doi.org/10.1128/spectrum.02632-21",,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I_X;Dino-Group-I_XX;Dino-Group-I_XX_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I_X,Dino-Group-I_XX,Dino-Group-I_XX_sp.,,,,,,,,,,,,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,,higher relative abundance in photic zone,,Naked,Round,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive Ambush Feeder,,Parasite ,,,,,,,,,Marine,,,,,1,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-2;Dino-Group-I-Clade-2_X;Dino-Group-I-Clade-2_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2_X_sp.,,higher relative abundance in aphotic zone,,Naked,Round,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive Ambush Feeder,,Parasite ,,,,,,,,,Marine,,,,,1,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-3,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-3,NA,NA,,,,,,,,,,,,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-3;Dino-Group-I-Clade-3_X;Dino-Group-I-Clade-3_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-3,Dino-Group-I-Clade-3_X,Dino-Group-I-Clade-3_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive_Ambush_Feeder,,Parasite ,,,,,,,,,Marine,,,,,1,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-3;Ichthyodinium;Ichthyodinium_chabelardi;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-3,Ichthyodinium,Ichthyodinium_chabelardi,,,,Naked,Elongated,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive_Ambush_Feeder,,Parasite ,Endo,Fish eggs,,,,,,,Marine,,,,,1,Haplontic,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-4,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive_Ambush_Feeder,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Euduboscquella,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-4,Euduboscquella,NA,,,,Naked,Round,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive_Ambush_Feeder,,Parasite ,Endo,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-5;Dino-Group-I-Clade-5_X;Dino-Group-I-Clade-5_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,,higher relative abundance in photic zone,,Naked,Round,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive_Ambush_Feeder,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-6;Dino-Group-I-Clade-6_X;Dino-Group-I-Clade-6_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-6,Dino-Group-I-Clade-6_X,Dino-Group-I-Clade-6_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive_Ambush_Feeder,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-7;Dino-Group-I-Clade-7_X;Dino-Group-I-Clade-7_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-7,Dino-Group-I-Clade-7_X,Dino-Group-I-Clade-7_X_sp.,,,,,,,,,,,,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-8;Dino-Group-I-Clade-8_X;Dino-Group-I-Clade-8_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-8,Dino-Group-I-Clade-8_X,Dino-Group-I-Clade-8_X_sp.,,,,,,,,,,,,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,NA,NA,NA,,diverse clade that contains Amoebophyra. Amoebophyra seems to regulate blooms of A. sanguinea,,,,,,,,,,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,,Hydrothermal vent fluid,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II_X,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II_X,NA,NA,,,,Naked,Round,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II_X;Dino-Group-II_XX;Dino-Group-II_XX_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II_X,Dino-Group-II_XX,Dino-Group-II_XX_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,,higher relative abundance in photic zone,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,"Anderson, Sean, et al. (2024). The role of Syndiniales parasites in depth-specific networks and carbon flux in the oligotrophic ocean, ISME Communications, 2024;, ycae014, https://doi.org/10.1093/ismeco/ycae014",,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-12;Dino-Group-II-Clade-12_X;Dino-Group-II-Clade-12_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-12,Dino-Group-II-Clade-12_X,Dino-Group-II-Clade-12_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-13;Dino-Group-II-Clade-13_X;Dino-Group-II-Clade-13_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-13,Dino-Group-II-Clade-13_X,Dino-Group-II-Clade-13_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-14;Dino-Group-II-Clade-14_X;Dino-Group-II-Clade-14_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-14,Dino-Group-II-Clade-14_X,Dino-Group-II-Clade-14_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,Myzocytotic,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-15;Dino-Group-II-Clade-15_X;Dino-Group-II-Clade-15_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-15,Dino-Group-II-Clade-15_X,Dino-Group-II-Clade-15_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-16;Dino-Group-II-Clade-16_X;Dino-Group-II-Clade-16_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-16,Dino-Group-II-Clade-16_X,Dino-Group-II-Clade-16_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-17;Dino-Group-II-Clade-17_X;Dino-Group-II-Clade-17_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-17,Dino-Group-II-Clade-17_X,Dino-Group-II-Clade-17_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-19;Dino-Group-II-Clade-19_X;Dino-Group-II-Clade-19_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-19,Dino-Group-II-Clade-19_X,Dino-Group-II-Clade-19_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-2;Dino-Group-II-Clade-2_X;Dino-Group-II-Clade-2_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-2,Dino-Group-II-Clade-2_X,Dino-Group-II-Clade-2_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-20;Dino-Group-II-Clade-20_X;Dino-Group-II-Clade-20_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-20,Dino-Group-II-Clade-20_X,Dino-Group-II-Clade-20_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-21;Dino-Group-II-Clade-21_X;Dino-Group-II-Clade-21_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-21,Dino-Group-II-Clade-21_X,Dino-Group-II-Clade-21_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-22;Dino-Group-II-Clade-22_X;Dino-Group-II-Clade-22_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-22,Dino-Group-II-Clade-22_X,Dino-Group-II-Clade-22_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-23;Dino-Group-II-Clade-23_X;Dino-Group-II-Clade-23_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-23,Dino-Group-II-Clade-23_X,Dino-Group-II-Clade-23_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-24;Dino-Group-II-Clade-24_X;Dino-Group-II-Clade-24_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-24,Dino-Group-II-Clade-24_X,Dino-Group-II-Clade-24_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-26;Dino-Group-II-Clade-26_X;Dino-Group-II-Clade-26_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-26,Dino-Group-II-Clade-26_X,Dino-Group-II-Clade-26_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-27;Dino-Group-II-Clade-27_X;Dino-Group-II-Clade-27_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-27,Dino-Group-II-Clade-27_X,Dino-Group-II-Clade-27_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-28;Dino-Group-II-Clade-28_X;Dino-Group-II-Clade-28_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-28,Dino-Group-II-Clade-28_X,Dino-Group-II-Clade-28_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-29;Dino-Group-II-Clade-29_X;Dino-Group-II-Clade-29_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-29,Dino-Group-II-Clade-29_X,Dino-Group-II-Clade-29_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-3;Dino-Group-II-Clade-3_X;Dino-Group-II-Clade-3_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-3,Dino-Group-II-Clade-3_X,Dino-Group-II-Clade-3_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-30;Dino-Group-II-Clade-30_X;Dino-Group-II-Clade-30_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-30,Dino-Group-II-Clade-30_X,Dino-Group-II-Clade-30_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-35;Dino-Group-II-Clade-35_X;Dino-Group-II-Clade-35_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-35,Dino-Group-II-Clade-35_X,Dino-Group-II-Clade-35_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-4,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-4,NA,NA,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-4;Dino-Group-II-Clade-4_X;Dino-Group-II-Clade-4_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-4,Dino-Group-II-Clade-4_X,Dino-Group-II-Clade-4_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-44;Dino-Group-II-Clade-44_X;Dino-Group-II-Clade-44_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-44,Dino-Group-II-Clade-44_X,Dino-Group-II-Clade-44_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-5;Dino-Group-II-Clade-5_X;Dino-Group-II-Clade-5_X_sp.;,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-5,Dino-Group-II-Clade-5_X,Dino-Group-II-Clade-5_X_sp.,,,,Naked,Round,0,Bilateral,Heteropolar,,Attached,,,,,Parasite ,,,,,,,,,,,,,,,,,,,,,,,,,,
